                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   AST SAB 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . - - - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   AST SIP 11 SAB 18 SAB 13 SAB 14 SAB 20 - - - . 1 - - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SAB 15   AST SIP 11 SIP 18 SAB 13 SAB 14 SAB 20 - - - . 1 2 - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SIP 16   AST SIP 11 SIP 18 SAB 13 SAB 14 SAB 20 - - 5 . 1 2 - 02 --
TSR   AST SAB 15 SAB 18 SAB 17 SAB 18 SIP 16   AST SIP 11 SIP 18 SAB 13 SAB 14 SIP 21 - - 5 . 1 2 5 02 --
TSR   AST SIP 15 SAB 18 SAB 17 SAB 18 SIP 16   AST SIP 11 SIP 18 SAB 13 SAB 14 SIP 21 - 1 5 . 1 2 5 02 --
TSR   AST SIP 15 SIP 18 SAB 17 SAB 18 SIP 16   AST SIP 11 SIP 18 SAB 13 SAB 14 SIP 21 2 1 5 . 1 2 5 02 --
TSR   WTR SIP 15 SIP 18 SAB 17 SAB 18 SIP 16   AST SIP 11 SIP 18 SAB 13 SAB 14 SIP 21 2 1 5 . 1 2 5 02 --
TSR   WTR SIP 15 SIP 18 SAB 17 SAB 18 SIP 16   WTR SIP 11 SIP 18 SAB 13 SAB 14 SIP 21 2 1 5 . 1 2 5 02 --
TSR   WTR SIP 15 SIP 18 SAB 17 SAB 18 DYB 16   WTR SIP 11 SIP 18 SAB 13 SAB 14 SIP 21 2 1 5 . 1 2 5 02 --
TSR   WTR SIP 15 SIP 18 SAB 17 SAB 18 DYB 16   WTR SIP 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
TSR   WTR DYB 15 SIP 18 SAB 17 SAB 18 DYB 16   WTR SIP 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
TSR   WTR DYB 15 SIP 18 SAB 17 SAB 18 DYB 16   WTR DYB 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WTR DYB 15 SIP 18 SAB 17 SAB 18 DYB 16   WTR DYB 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WTR DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WTR DYB 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WTR DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 SIP 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 DYB 18 SAB 13 SAB 14 DYB 21 2 1 5 . 1 2 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 SAB 17 SAB 13 SAB 14 DYB 21 2 1 5 . 1 - 5 02 00
WTC   WRC DYB 15 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 SAB 17 SAB 13 SAB 14 SAB 20 2 1 5 . 1 - - 02 00
WTC   WRC SAB 14 DYB 18 SAB 17 SAB 18 DYB 16   WRC DYB 11 SAB 17 SAB 13 SAB 14 SAB 20 2 - 5 . 1 - - 02 00
WTC   WRC SAB 14 DYB 18 SAB 17 SAB 18 SAB 15   WRC DYB 11 SAB 17 SAB 13 SAB 14 SAB 20 2 - - . 1 - - 02 00
WTC   WRC SAB 14 SAB 17 SAB 17 SAB 18 SAB 15   WRC DYB 11 SAB 17 SAB 13 SAB 14 SAB 20 - - - . 1 - - 02 00
WTC   WRC SAB 14 SAB 17 SAB 17 SAB 18 SAB 15   WRC SAB 10 SAB 17 SAB 13 SAB 14 SAB 20 - - - . - - - 02 --
